,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
1,지역,감포신용협동조합,본점,(780831) 경상북도 경주시 감포읍감포로 125
2,지역,강구신용협동조합,본점,(36458) 경상북도 영덕군 강구면나비산길 4
3,지역,경북오천신용협동조합,본점,(37904) 경상북도 포항시 남구 오천읍정몽주로669번길 2
4,지역,경북오천신용협동조합,지점,(37912) 경상북도 포항시 남구 오천읍세계길 27
5,지역,경북오천신용협동조합,지점,(37886) 경상북도 포항시 남구 오천읍원동로 4
6,지역,경산신용협동조합,본점,(712010) 경상북도 경산시 장산로23길 20(서상동)
7,지역,경산신용협동조합,지점,"(38657) 경상북도 경산시 대학로12길 6(정평동,경산2차우방맨션)"
8,지역,경산신용협동조합,지점,(38582) 경상북도 경산시 원효로 182(사동)
9,지역,경일신용협동조합,본점,(38433) 경상북도 경산시 하양읍하양로 105-1
10,지역,경일신용협동조합,지점,(38341) 경상북도 청도군 청도읍청화로 183-1
11,지역,고령신용협동조합,본점,(40137) 경상북도 고령군 대가야읍왕릉로 98
12,지역,구룡포신용협동조합,본점,(37933) 경상북도 포항시 남구 구룡포읍구룡포길 74
13,지역,구미신용협동조합,본점,(39291) 경상북도 구미시 형곡로7길 5(형곡동)
14,지역,구미신용협동조합,지점,(730922) 경상북도 구미시 역전로 19(원평동)
15,지역,구미신용협동조합,지점,(39183) 경상북도 구미시 옥계북로 59(옥계동)
16,지역,구미신용협동조합,지점,(39207) 경상북도 구미시 봉곡로 162(봉곡동)
17,지역,금오제일신용협동조합,지점,(39826) 경상북도 칠곡군 약목면약목로 74
18,지역,금오제일신용협동조합,본점,(39808) 경상북도 칠곡군 북삼읍인평중앙로 64
19,지역,기계신용협동조합,본점,(37528) 경상북도 포항시 북구 기계면기계로 56
20,지역,김천신용협동조합,본점,(39628) 경상북도 김천시 부곡중앙4길 32(부곡동)
21,지역,김천신용협동조합,지점,(39547) 경상북도 김천시 부거리길 4(신음동)
22,지역,김천신용협동조합,지점,(39593) 경상북도 김천시 김천로 223(황금동)
23,지역,김천신용협동조합,지점,(39660) 경상북도 김천시 혁신4로 61(율곡동)
24,지역,김천신용협동조합,지점,(39660) 경상북도 김천시 혁신3로 22(율곡동)
25,지역,김천신용협동조합,지점,(39610) 경상북도 김천시 평화중앙9길 8(평화동)
26,지역,다인신용협동조합,본점,(37303) 경상북도 의성군 다인면서릉1길 9
27,지역,대경신용협동조합,본점,(39864) 경상북도 칠곡군 지천면신동로 167
28,지역,대경신용협동조합,지점,(39859) 경상북도 칠곡군 동명면금암중앙길 51
29,지역,대동신용협동조합,본점,(791804) 경상북도 포항시 북구 삼흥로18번길 25(두호동)
30,지역,봉화신용협동조합,본점,(36238) 경상북도 봉화군 봉화읍내성로 86
31,지역,서라벌신용협동조합,본점,(38146) 경상북도 경주시 동문로 6(성동동)
32,지역,서라벌신용협동조합,지점,(38060) 경상북도 경주시 충효녹지길 96(충효동)
33,지역,성암신용협동조합,본점,(712100) 경상북도 경산시 경청로 1097(백천동)
34,지역,성주신용협동조합,본점,(40029) 경상북도 성주군 성주읍성주읍1길 7-7
35,지역,안강신용협동조합,본점,(38023) 경상북도 경주시 안강읍비화동길 11
36,지역,안동신용협동조합,본점,(36694) 경상북도 안동시 태사2길 48(북문동)
37,지역,안동중앙신용협동조합,본점,(760150) 경상북도 안동시 서동문로 128(대석동)
38,지역,안동중앙신용협동조합,지점,(760310) 경상북도 안동시 광명로 149(옥동)
39,지역,안동행복신용협동조합,본점,(36695) 경상북도 안동시 대안로 133(남문동)
40,지역,안동행복신용협동조합,지점,(36711) 경상북도 안동시 경동로 861(용상동)
41,지역,안동행복신용협동조합,지점,(36621) 경상북도 안동시 풍산읍풍산중앙길 142
42,지역,안동행복신용협동조합,지점,(36641) 경상북도 안동시 경동로 328(송현동)
43,지역,알찬신용협동조합,본점,(36085) 경상북도 영주시 중앙로 84(하망동)
44,지역,압량신용협동조합,본점,(712824) 경상북도 경산시 압량읍부적길 14
45,지역,영덕신용협동조합,본점,(36434) 경상북도 영덕군 영덕읍덕곡길 119
46,지역,영덕신용협동조합,지점,(36413) 경상북도 영덕군 영해면예주길 86-1
47,지역,영일만신용협동조합,본점,(37844) 경상북도 포항시 남구 연일읍철강로41번길 60
48,지역,영일만신용협동조합,지점,(37656) 경상북도 포항시 남구 연일읍유강길17번길 26
49,지역,영일만신용협동조합,지점,(37710) 경상북도 포항시 북구 두호로 43(두호동)
50,지역,영주영남신용협동조합,본점,(750901) 경상북도 영주시 꽃동산로 42-1(가흥동)
51,지역,영주영남신용협동조합,지점,(36096) 경상북도 영주시 구성로 386(영주동)
52,지역,영주장수신용협동조합,본점,(36145) 경상북도 영주시 장수면장수로 63
53,지역,영천신용협동조합,본점,(38890) 경상북도 영천시 시장로 76(완산동)
54,지역,영천신용협동조합,지점,(38858) 경상북도 영천시 호국로 57-1(야사동)
55,지역,예성신용협동조합,본점,(36853) 경상북도 예천군 지보면지보로 162
56,지역,예성신용협동조합,지점,(37313) 경상북도 의성군 안계면안계길 151
57,지역,예천한일신용협동조합,본점,(36828) 경상북도 예천군 예천읍맛고을길 28-1
58,지역,왜관신용협동조합,본점,(718805) 경상북도 칠곡군 왜관읍중앙로 183
59,지역,왜관신용협동조합,지점,(718805) 경상북도 칠곡군 왜관읍중앙로 233
60,지역,왜관신용협동조합,지점,(718807) 경상북도 칠곡군 왜관읍중앙로 83
61,지역,왜관신용협동조합,지점,(39836) 경상북도 칠곡군 석적읍유학로 18
62,지역,의성신용협동조합,본점,(37338) 경상북도 의성군 의성읍동서2길 23
63,지역,진보신용협동조합,본점,(37405) 경상북도 청송군 진보면진보로 147
64,지역,청송신용협동조합,본점,(37462) 경상북도 청송군 현서면구산동로 31
65,지역,춘양신용협동조합,본점,(755847) 경상북도 봉화군 춘양면의양로4길 4
66,지역,포항서부신용협동조합,본점,(37742) 경상북도 포항시 북구 용당로 34-1(용흥동)
67,지역,포항서부신용협동조합,지점,(37645) 경상북도 포항시 북구 대안길 63(용흥동)
68,지역,포항서부신용협동조합,지점,(37714) 경상북도 포항시 북구 학전로 38-1(항구동)
69,지역,포항신용협동조합,본점,(791842) 경상북도 포항시 북구 중앙로245번길 8(죽도동)
70,지역,포항신용협동조합,지점,(790838) 경상북도 포항시 남구 해동로 85-1(해도동)
71,지역,포항신용협동조합,지점,(790330) 경상북도 포항시 남구 효자동길6번길 13(효자동)
72,지역,포항제일신용협동조합,본점,(37738) 경상북도 포항시 북구 칠성로 35(남빈동)
73,지역,풍양신용협동조합,본점,(36865) 경상북도 예천군 풍양면낙상2길 38
74,지역,풍천신용협동조합,본점,(36760) 경상북도 안동시 풍천면구담배나들길 7
75,지역,풍천신용협동조합,지점,(36759) 경상북도 안동시 풍천면검무로 50
76,지역,호명신용협동조합,본점,(757883) 경상북도 예천군 호명면오천길 14
77,지역,호명신용협동조합,지점,(36849) 경상북도 예천군 호명면새움3로 14
78,단체,경북건축사신용협동조합,본점,(36759) 경상북도 안동시 풍천면천년숲서로 7-19
79,직장,안동성소병원신용협동조합,본점,(36690) 경상북도 안동시 서동문로 99(금곡동)
80,직장,케이이씨신용협동조합,본점,(39256) 경상북도 구미시 수출대로 41(공단동)
81,직장,코오롱인더스트리신용협동조합,지점,(39366) 경상북도 구미시 수출대로 48(공단동)
82,직장,코오롱인더스트리신용협동조합,지점,(39366) 경상북도 구미시 수출대로 48(공단동)
83,직장,티씨씨신용협동조합,본점,(37862) 경상북도 포항시 남구 괴동로 100(장흥동)
84,직장,한전기술신용협동조합,본점,(39660) 경상북도 김천시 혁신로 269(율곡동)
