,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
79,단체,광주YWCA신용협동조합,지점,(61245) 광주광역시 북구 중가로 43(유동)
80,단체,광주YWCA신용협동조합,본점,(61695) 광주광역시 남구 봉선로79번길 31(봉선동)
81,단체,광주개인택시신용협동조합,본점,(61027) 광주광역시 북구 하서로 570-6(본촌동)
82,단체,광주개인택시신용협동조합,지점,(61110) 광주광역시 북구 운용로 79(용봉동)
83,단체,광주건축사신용협동조합,본점,(61228) 광주광역시 북구 무등로 255(중흥동)
84,단체,광주교회신용협동조합,본점,(61059) 광주광역시 북구 설죽로355번길 32-10(매곡동)
85,단체,광주약사신용협동조합,본점,(61619) 광주광역시 남구 경열로 80(월산동)
86,단체,광주원광신용협동조합,본점,(62036) 광주광역시 서구 운천로 26-1(금호동)
87,단체,광주원광신용협동조합,지점,(62036) 광주광역시 서구 운천로 26-1(금호동)
88,단체,광주원광신용협동조합,지점,(62068) 광주광역시 서구 풍암2로 67(풍암동)
89,단체,광주원광신용협동조합,지점,(61475) 광주광역시 동구 예술길 26(궁동)
90,단체,광주의사신용협동조합,본점,(61251) 광주광역시 북구 무등로218번길 25(신안동)
91,단체,광주전남치과의사신용협동조합,본점,(502857) 광주광역시 서구 상무대로 948(쌍촌동)
92,단체,밀알신용협동조합,본점,(61241) 광주광역시 북구 금남로 104(누문동)
93,단체,밀알신용협동조합,지점,(61472) 광주광역시 동구 금남로 195(금남로4가)
94,단체,밀알신용협동조합,지점,(61055) 광주광역시 북구 안산로 5(오치동)
95,단체,삼애신용협동조합,본점,(502823) 광주광역시 서구 독립로 203(양동)
96,단체,삼애신용협동조합,지점,(61263) 광주광역시 북구 하남대로 765(운암동)
97,직장,광주은행신용협동조합,본점,(501730) 광주광역시 동구 제봉로 225(대인동)
98,직장,전남대학교신용협동조합,본점,(61186) 광주광역시 북구 용봉로 77(용봉동)
99,직장,조선대학교신용협동조합,본점,(61452) 광주광역시 동구 필문대로 309(서석동)
