,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,감포신용협동조합,본점,(780831) 경상북도 경주시 감포읍감포로 125
1,1,지역,강구신용협동조합,본점,(36458) 경상북도 영덕군 강구면나비산길 4
2,2,지역,경북오천신용협동조합,본점,(37904) 경상북도 포항시 남구 오천읍정몽주로669번길 2
3,3,지역,경북오천신용협동조합,지점,(37912) 경상북도 포항시 남구 오천읍세계길 27
4,4,지역,경북오천신용협동조합,지점,(37886) 경상북도 포항시 남구 오천읍원동로 4
5,5,지역,경산신용협동조합,본점,(712010) 경상북도 경산시 장산로23길 20(서상동)
6,6,지역,경산신용협동조합,지점,"(38657) 경상북도 경산시 대학로12길 6(정평동,경산2차우방맨션)"
7,7,지역,경산신용협동조합,지점,(38582) 경상북도 경산시 원효로 182(사동)
8,8,지역,경일신용협동조합,본점,(38433) 경상북도 경산시 하양읍하양로 105-1
9,9,지역,경일신용협동조합,지점,(38341) 경상북도 청도군 청도읍청화로 183-1
10,0,지역,고령신용협동조합,본점,(40137) 경상북도 고령군 대가야읍왕릉로 98
11,1,지역,구룡포신용협동조합,본점,(37933) 경상북도 포항시 남구 구룡포읍구룡포길 74
12,2,지역,구미신용협동조합,본점,(39291) 경상북도 구미시 형곡로7길 5(형곡동)
13,3,지역,구미신용협동조합,지점,(730922) 경상북도 구미시 역전로 19(원평동)
14,4,지역,구미신용협동조합,지점,(39183) 경상북도 구미시 옥계북로 59(옥계동)
15,5,지역,구미신용협동조합,지점,(39207) 경상북도 구미시 봉곡로 162(봉곡동)
16,6,지역,금오제일신용협동조합,지점,(39826) 경상북도 칠곡군 약목면약목로 74
17,7,지역,금오제일신용협동조합,본점,(39808) 경상북도 칠곡군 북삼읍인평중앙로 64
18,8,지역,기계신용협동조합,본점,(37528) 경상북도 포항시 북구 기계면기계로 56
19,9,지역,김천신용협동조합,본점,(39628) 경상북도 김천시 부곡중앙4길 32(부곡동)
20,0,지역,김천신용협동조합,지점,(39547) 경상북도 김천시 부거리길 4(신음동)
21,1,지역,김천신용협동조합,지점,(39593) 경상북도 김천시 김천로 223(황금동)
22,2,지역,김천신용협동조합,지점,(39660) 경상북도 김천시 혁신4로 61(율곡동)
23,3,지역,김천신용협동조합,지점,(39660) 경상북도 김천시 혁신3로 22(율곡동)
24,4,지역,김천신용협동조합,지점,(39610) 경상북도 김천시 평화중앙9길 8(평화동)
25,5,지역,다인신용협동조합,본점,(37303) 경상북도 의성군 다인면서릉1길 9
26,6,지역,대경신용협동조합,본점,(39864) 경상북도 칠곡군 지천면신동로 167
27,7,지역,대경신용협동조합,지점,(39859) 경상북도 칠곡군 동명면금암중앙길 51
28,8,지역,대동신용협동조합,본점,(791804) 경상북도 포항시 북구 삼흥로18번길 25(두호동)
29,9,지역,봉화신용협동조합,본점,(36238) 경상북도 봉화군 봉화읍내성로 86
30,0,지역,서라벌신용협동조합,본점,(38146) 경상북도 경주시 동문로 6(성동동)
31,1,지역,서라벌신용협동조합,지점,(38060) 경상북도 경주시 충효녹지길 96(충효동)
32,2,지역,성암신용협동조합,본점,(712100) 경상북도 경산시 경청로 1097(백천동)
33,3,지역,성주신용협동조합,본점,(40029) 경상북도 성주군 성주읍성주읍1길 7-7
34,4,지역,안강신용협동조합,본점,(38023) 경상북도 경주시 안강읍비화동길 11
35,5,지역,안동신용협동조합,본점,(36694) 경상북도 안동시 태사2길 48(북문동)
36,6,지역,안동중앙신용협동조합,본점,(760150) 경상북도 안동시 서동문로 128(대석동)
37,7,지역,안동중앙신용협동조합,지점,(760310) 경상북도 안동시 광명로 149(옥동)
38,8,지역,안동행복신용협동조합,본점,(36695) 경상북도 안동시 대안로 133(남문동)
39,9,지역,안동행복신용협동조합,지점,(36711) 경상북도 안동시 경동로 861(용상동)
40,0,지역,안동행복신용협동조합,지점,(36621) 경상북도 안동시 풍산읍풍산중앙길 142
41,1,지역,안동행복신용협동조합,지점,(36641) 경상북도 안동시 경동로 328(송현동)
42,2,지역,알찬신용협동조합,본점,(36085) 경상북도 영주시 중앙로 84(하망동)
43,3,지역,압량신용협동조합,본점,(712824) 경상북도 경산시 압량읍부적길 14
44,4,지역,영덕신용협동조합,본점,(36434) 경상북도 영덕군 영덕읍덕곡길 119
45,5,지역,영덕신용협동조합,지점,(36413) 경상북도 영덕군 영해면예주길 86-1
46,6,지역,영일만신용협동조합,본점,(37844) 경상북도 포항시 남구 연일읍철강로41번길 60
47,7,지역,영일만신용협동조합,지점,(37656) 경상북도 포항시 남구 연일읍유강길17번길 26
48,8,지역,영일만신용협동조합,지점,(37710) 경상북도 포항시 북구 두호로 43(두호동)
49,9,지역,영주영남신용협동조합,본점,(750901) 경상북도 영주시 꽃동산로 42-1(가흥동)
