,index,공동유대,신협 점포명,본 / 지점 구분,(우편번호)주 소
0,0,지역,강릉신용협동조합,본점,(25533) 강원도 강릉시 경강로 2083(임당동)
1,1,지역,강릉신용협동조합,지점,(25513) 강원도 강릉시 교동광장로 127(교동)
2,2,지역,고성신용협동조합,본점,(24736) 강원도 고성군 간성읍간성로 53
3,3,지역,고한신용협동조합,본점,(26155) 강원도 정선군 고한읍고한6길 6
4,4,지역,관동신용협동조합,본점,(25587) 강원도 강릉시 강변로 280(노암동)
5,5,지역,대관령신용협동조합,본점,(25344) 강원도 평창군 대관령면횡계길 5
6,6,지역,대원신용협동조합,본점,(26392) 강원도 원주시 능라동길 73(무실동)
7,7,지역,대원신용협동조합,지점,(26487) 강원도 원주시 단구로 358(단구동)
8,8,지역,대원신용협동조합,지점,(26441) 강원도 원주시 남원로 659-1(명륜동)
9,9,지역,대화신용협동조합,본점,(25358) 강원도 평창군 대화면대화중앙로 132
10,0,지역,동해묵호신용협동조합,본점,(25719) 강원도 동해시 일출로 14(발한동)
11,1,지역,동해묵호신용협동조합,지점,(25759) 강원도 동해시 천곡로 71(천곡동)
12,2,지역,미탄신용협동조합,본점,(232822) 강원도 평창군 미탄면미탄중앙로 28
13,3,지역,미탄신용협동조합,지점,(232807) 강원도 평창군 평창읍평창시장2길 22
14,4,지역,봄내신용협동조합,본점,(200959) 강원도 춘천시 춘천로 313(후평동)
15,5,지역,봉평신용협동조합,본점,(25303) 강원도 평창군 봉평면기풍4길 5
16,6,지역,북원신용협동조합,본점,(26436) 강원도 원주시 봉화로 14(단계동)
17,7,지역,북원신용협동조합,지점,(26316) 강원도 원주시 북원로 2708-1(태장동)
18,8,지역,사북신용협동조합,본점,(26153) 강원도 정선군 사북읍사북중앙로 20-1
19,9,지역,삼척신용협동조합,본점,(25920) 강원도 삼척시 진주로 22(남양동)
20,0,지역,서원주신용협동조합,본점,(26373) 강원도 원주시 문막읍문막시장1길 36
21,1,지역,서원주신용협동조합,지점,(26498) 강원도 원주시 부론면법천시장길 52
22,2,지역,서원주신용협동조합,지점,(26353) 강원도 원주시 지정면신지정로 202
23,3,지역,속초신용협동조합,본점,(24872) 강원도 속초시 동해대로 4070(조양동)
24,4,지역,속초신용협동조합,지점,(24824) 강원도 속초시 중앙로 184-3(동명동)
25,5,지역,양구신용협동조합,본점,(24529) 강원도 양구군 양구읍양록길 28
26,6,지역,양양신용협동조합,본점,(25009) 강원도 양양군 강현면일출로 5
27,7,지역,양양신용협동조합,지점,(25023) 강원도 양양군 양양읍양양로 76
28,8,지역,여량신용협동조합,본점,(26106) 강원도 정선군 여량면서동로 2911
29,9,지역,영월신용협동조합,본점,(26234) 강원도 영월군 영월읍중앙로 5
30,0,지역,영월신용협동조합,지점,(230854) 강원도 영월군 주천면주천로 87
31,1,지역,원주밝음신용협동조합,본점,(26428) 강원도 원주시 중앙로 83(중앙동)
32,2,지역,원주밝음신용협동조합,지점,(26490) 강원도 원주시 단관길 97(단구동)
33,3,지역,원주밝음신용협동조합,지점,(26388) 강원도 원주시 시청로 80(무실동)
34,4,지역,원주밝음신용협동조합,지점,(26461) 강원도 원주시 입춘로 73(반곡동)
35,5,지역,원주신용협동조합,본점,(220903) 강원도 원주시 중앙로 118(중앙동)
36,6,지역,원주신용협동조합,지점,(26484) 강원도 원주시 서원대로 410(단구동)
37,7,지역,원주신용협동조합,지점,(26423) 강원도 원주시 천사로 45(단계동)
38,8,지역,원주제일신용협동조합,본점,(26427) 강원도 원주시 무실로 16(일산동)
39,9,지역,원주제일신용협동조합,지점,(26486) 강원도 원주시 늘품로 17(단구동)
40,0,지역,원주참빛신용협동조합,본점,(26442) 강원도 원주시 남원로 630(개운동)
41,1,지역,원주참빛신용협동조합,지점,(26482) 강원도 원주시 남원로 441-6(명륜동)
42,2,지역,정선신용협동조합,본점,(233805) 강원도 정선군 정선읍봉양6길 31
43,3,지역,진부신용협동조합,본점,(25333) 강원도 평창군 진부면청송로 90-24
44,4,지역,춘천신용협동조합,본점,(24353) 강원도 춘천시 중앙로 57(중앙로2가)
45,5,지역,춘천신용협동조합,지점,(24353) 강원도 춘천시 중앙로 57(중앙로2가)
46,6,지역,춘천신용협동조합,지점,(200936) 강원도 춘천시 퇴계로 215(석사동)
47,7,지역,춘천신용협동조합,지점,(24376) 강원도 춘천시 퇴계로93번길 3(퇴계동)
48,8,지역,춘천신용협동조합,지점,(24360) 강원도 춘천시 방송길 40(근화동)
49,9,지역,춘천와이신용협동조합,본점,(200080) 강원도 춘천시 금강로 120(운교동)
50,0,지역,춘천와이신용협동조합,지점,(200972) 강원도 춘천시 지석로 75(석사동)
51,1,지역,한마음신용협동조합,본점,(26013) 강원도 태백시 번영로 362(황지동)
52,2,지역,한마음신용협동조합,지점,(26052) 강원도 태백시 장성로 24(장성동)
53,3,지역,홍천신용협동조합,본점,(250805) 강원도 홍천군 홍천읍번영로 64
54,4,지역,홍천신용협동조합,지점,(25137) 강원도 홍천군 홍천읍홍천로6길 20
55,5,지역,화천철원신용협동조합,본점,(24124) 강원도 화천군 화천읍중앙로5길 2
56,6,지역,화천철원신용협동조합,지점,(24048) 강원도 철원군 갈말읍삼부연로 4-1
57,7,지역,횡성신용협동조합,본점,(25232) 강원도 횡성군 횡성읍읍상서로 4
58,8,단체,가톨릭춘천신용협동조합,본점,(200050) 강원도 춘천시 약사고개길 21(죽림동)
